id|longitude|latitude|tipogeo|uf|municipio|cod_ibge|nome|end_orig|num_orig|compl_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|compl_logradouro|bairro|cep|nome_resp|ddd_telefone1|telefone1|ddd_fax|fax|email|site|esfera_adm|tipo_esfera|cnpj|sniic_n1|sniic_n2|sniic_n3|cod_censo_fgv|segunda|terca|quarta|quinta|sexta|sabado|domingo|manha|tarde|noite|acesso_usuario_internet|qt_emprestimos_domiciliares|qt_livros_acervo
1|-61.995871|-11.928726|3|RO|Alta Floresta D'Oeste|1100015|Biblioteca Pública Municipal Aurélia Stedile|Pç. Izidoro Stedile| | |Redondo|76954-000|PCA|IZIDORO STEDILE| | | |REDONDO|76954-000|Lucineide Pereira dos Santos| | |69|3641-2215| | |Pública|Municipal| |1|1.2|1.2.1|18|1|1|1|1|1|0|0|1|0|0|Não|35|1500
2|-63.035352|-9.907895|2|RO|Ariquemes|1100023|Biblioteca Pública Municipal Pedro Tavares Batalha|Av. Tancredo Neves Setor Institucional|2490| |Centro|78932-000|AV|TANCREDO NEVES SETOR INSTITUCIONAL| |2490| |CENTRO|78932-000|Márcia Cristina da Silva Dias|69|3536-2422|69|3535-4795|bibliotecadeariquemes@hotmail.com| |Pública|Municipal| |1|1.2|1.2.1|2991|1|1|1|1|1|1|0|1|1|1|Sim|635|42000
3|-61.44328|-11.435862|2|RO|Cacoal|1100049|Biblioteca Pública Municipal Vinicius de Moraes|R. Rio Branco|2140| |Centro|78975-000|R|RIO BRANCO| |2140| |CENTRO|78975-000|Ecléia Vasconcelos da Silva Pinheiro|69|3907-4027| | | | |Pública|Municipal| |1|1.2|1.2.1|2983|1|1|1|1|1|1|0|1|1|1|Não|400|15000
4|-60.530088|-13.118763|1|RO|Colorado do Oeste|1100064|Biblioteca Pública Municipal Rui Barbosa|Av. Paulo de Assis|3956| |Centro|76993-000|AV|PAULO DE ASSIS| |3956| |CENTRO|76993-000|Fátima Aparecida Notaro| | |69|3341-4467| | |Pública|Municipal| |1|1.2|1.2.1|27|1|1|1|1|1|0|0|1|1|1|Não|150|6000
5|-60.816432|-12.963911|2|RO|Corumbiara|1100072|Biblioteca Pública Municipal Machado de Assis|Av. Guarajus|2054| |Centro|76995-000|AV|GUARAJUS| |2054| |CENTRO|76995-000|Rute Vieira| | | | | | |Pública|Municipal| |1|1.2|1.2.1|29|1|1|1|1|1|0|0|1|1|0|Sim|25|1800
6|-61.017428|-11.532693|2|RO|Espigão D'Oeste|1100098|Biblioteca Pública Municipal Castro Alves|Av. 7 de Setembro|2036| |Centro|76974-000|AV|7 DE SETEMBRO| |2036| |CENTRO|76974-000|Juarez de Oliveira Alves| | | | | | |Pública|Municipal| |1|1.2|1.2.1|21|1|1|1|1|1|0|0|1|1|1|Não|40|2010
7|-65.330111|-10.789318|3|RO|Guajará-Mirim|1100106|Biblioteca Pública Municipal Jarbas Passarinho|AV. 15 de Novembro| | |Centro|76850-000|AV|15 DE NOVEMBRO| | | |CENTRO|76850-000|Claudino Melo da Costa| | | | | | |Pública|Municipal| |1|1.2|1.2.1|7|1|1|1|1|1|0|0|1|1|0|Não|Não Informou|3500
8|-61.947968|-10.875369|2|RO|Ji-Paraná|1100122|Biblioteca Pública Municipal Doutor Cyro Escobar Ribeiro|Av. Transcontinental| | |Centro|78960-000|AV|TRANSCONTINENTAL| | | |CENTRO|78960-000|Edna Raimunda Santos Moscoso|69|3423-4659| | | | |Pública|Municipal| |1|1.2|1.2.1|2992|1|1|1|1|1|1|0|1|1|0|Não|300|28000
9|-62.004244|-9.429567|2|RO|Machadinho D'Oeste|1100130|Biblioteca Pública Municipal Professora Maria Andrade Silva|Av. Castelo Branco|2556| |Centro|76868-000|AV|CASTELO BRANCO| |2556| |CENTRO|76868-000|Vera Lúcia dos Santos| | | | | | |Pública|Municipal| |1|1.2|1.2.1|5|1|1|1|1|1|0|0|1|1|0|Não|10|2000
10|-62.313196|-11.72508|3|RO|Nova Brasilândia D'Oeste|1100148|Biblioteca Pública Municipal Amália de Souza Mello|Av. Juscelino Kubitschek| | |Setor 14|76975-000|AV|JUSCELINO KUBITSCHEK| | | |SETOR 14|76975-000|Eliane Maria Sitowski| | |69|3418-2641| | |Pública|Municipal| |1|1.2|1.2.1|16|1|1|1|1|1|0|0|1|1|0|Sim|60|1800
11|-62.255839|-10.720754|2|RO|Ouro Preto do Oeste|1100155|Biblioteca Pública Municipal Olavo Bilac|R. Daniel Comboni| | |Centro|76929-000|R|DANIEL COMBONI| | | |CENTRO|76929-000|Jessé Miguel de Moura| | | | | | |Pública|Municipal| |1|1.2|1.2.1|12|1|1|1|1|1|0|0|1|1|0|Não|300|4000
12|-61.188708|-11.669073|1|RO|Pimenta Bueno|1100189|Biblioteca Pública Municipal Padre Adolfo Rhotz|Av. Presidente Dutra| | |Centro|76970-000|AV|PRESIDENTE DUTRA| | | |CENTRO|76970-000|Vera Lúcia dos Reis Ferrari|69|3451-2296|69|3451-9277| | |Pública|Municipal| |1|1.2|1.2.1|2984|1|1|1|1|1|0|0|1|1|0|Não|Não Informou|5000
13|-63.907772|-8.764224|1|RO|Porto Velho|1100205|Biblioteca Pública Municipal Francisco Meirelles|R. José do Patrocínio|200| |Centro|78900-120|R|JOSE DO PATROCINIO| |200| |CENTRO|78900-120|Joelma Flávia| | |69|3901-3029|joelma_gih@hotmail.com| |Pública|Municipal| |1|1.2|1.2.1|2|1|1|1|1|1|0|0|1|1|0|Não|400| 
14|-61.910816|-11.167868|2|RO|Presidente Médici|1100254|Biblioteca Pública Municipal Doutor Ulisses Guimarães|R. Independência| | |Centro|78968-000|R|INDEPENDENCIA| | | |CENTRO|78968-000|Antônio Edilson Florêncio|69|3471-3050| | | | |Pública|Municipal| |1|1.2|1.2.1|2960|1|1|1|1|1|0|0|1|1|0|Não|130|6980
15|-61.7946|-11.724166|1|RO|Rolim de Moura|1100288|Biblioteca Pública Municipal Claudevi Aparecido Pauim|Av. Fortaleza| | |Centro|76940-000|AV|FORTALEZA| | | |CENTRO|76940-000|Maria de Fátima A da Silva| | | | | | |Pública|Municipal| |1|1.2|1.2.1|22|1|1|1|1|1|0|0|1|1|0|Não|60|4000
16|-61.83866|-11.904979|2|RO|Santa Luzia D'Oeste|1100296|Biblioteca Pública Municipal Monteiro Lobato|Av. Brasil| | |Centro|76950-000|AV|BRASIL| | | |CENTRO|76950-000|Elis Marisa Santos| | |69|3434-2732| | |Pública|Municipal| |1|1.2|1.2.1|23|1|1|1|1|1|0|0|1|1|1|Não|15|1120
17|-60.144404|-12.733117|2|RO|Vilhena|1100304|Biblioteca Pública Municipal Monteiro Lobato|Pç. Nossa Senhora Aparecida| | |Centro|78995-000|PCA|NOSSA SENHORA APARECIDA| | | |CENTRO|78995-000|Josiane Brasil| | |69|3919-7006|bibliotecamonteirolobato@hotmail.com| |Pública|Municipal| |1|1.2|1.2.1|26|1|1|1|1|1|0|0|1|1|1|Não|50|9000
18|-62.719755|-11.695669|3|RO|São Miguel do Guaporé|1100320|Biblioteca Pública Municipal Cora Coralina|Av. Cap.  Sílvio|760| |Centro|76932-000|AV|CAP  SILVIO| |760| |CENTRO|76932-000|Sílvia Severina Dias| | |69|3642-2353| | |Pública|Municipal| |1|1.2|1.2.1|17|1|1|1|1|1|0|0|1|1|0|Sim|50|2987
19|-65.327308|-10.408638|2|RO|Nova Mamoré|1100338|Biblioteca Pública Municipal Tancredo Neves|Av. Desidério Domingos Lopes|3160| |Centro|78939-000|AV|DESIDERIO DOMINGOS LOPES| |3160| |CENTRO|78939-000|Ivanilda Rubita| | | | |ivanilde.rubine@hotmail.com| |Pública|Municipal| |1|1.2|1.2.1|9|1|1|1|1|1|0|0|1|1|1|Não|100|5000
20|-62.285227|-11.34667|3|RO|Alvorada D'Oeste|1100346|Biblioteca Pública Municipal Noeli Boaria Alves|R. Guimarães Rosa|4896| |Centro|76930-000|R|GUIMARAES ROSA| |4896| |CENTRO|76930-000|Sônia Regina Goes Pereira|69|3412-2406| | | | |Pública|Municipal| |1|1.2|1.2.1|2961|1|1|1|1|1|1|0|1|1|1|Não|25|20001
21|-61.851444|-12.127677|2|RO|Alto Alegre dos Parecis|1100379|Biblioteca Pública Municipal Darci Ribeiro|Av. Presidente Prudente| | |Centro|78994-800|AV|PRESIDENTE PRUDENTE| | | |CENTRO|78994-800|Edna Andrade| | | | | | |Pública|Municipal| |1|1.2|1.2.1|19|1|1|1|1|1|0|0|1|1|1|Não|Não Informou|3200
22|-63.319366|-9.714685|3|RO|Alto Paraíso|1100403|Biblioteca Pública Municipal Confúcio Moura|Av. Jorge Teixeira|3513| |Centro|76862-000|AV|JORGE TEIXEIRA| |3513| |CENTRO|76862-000|Vanderlei Assunção| | |69|3534-2104| | |Pública|Municipal| |1|1.2|1.2.1|6|1|1|1|1|1|0|0|1|0|0|Não|30|1500
23|-63.833528|-10.185187|2|RO|Buritis|1100452|Biblioteca Pública Municipal Jorge Amado|R. Taguatinga|1704| |Setor 1|78967-800|R|TAGUATINGA| |1704| |SETOR 1|78967-800|Rosana Cristina| | | | | | |Pública|Municipal| |1|1.2|1.2.1|11|1|1|1|1|1|1|0|1|1|0|Não|500| 
24|-62.900744|-10.342552|2|RO|Cacaulândia|1100601|Biblioteca Pública Municipal Monteiro Lobato|R. João Boava|1421| |Setor 1|78944-000|R|JOAO BOAVA| |1421| |SETOR 1|78944-000|Célia dos Santos Teixeira|69|3532-2104|69|3532-2121| | |Pública|Municipal| |1|1.2|1.2.1|2990|1|1|1|1|1|0|0|1|1|0|Não|50|227
25|-63.627748|-10.487812|2|RO|Campo Novo de Rondônia|1100700|Biblioteca Pública Municipal José de Alencar|R. Costa e Silva| | |Setor 1|76887-000|R|COSTA E SILVA| | | |SETOR 1|76887-000|Márcio Moratta|69|3239-2217| | | | |Pública|Municipal| |1|1.2|1.2.1|2962|1|1|1|1|1|0|0|1|1|0|Não|10|1000
26|-63.702384|-8.781303|2|RO|Candeias do Jamari|1100809|Biblioteca Pública Municipal Elói Lemos|R. Zacarias Vicente Santos| | |Centro|76860-000|R|ZACARIAS VICENTE SANTOS| | | |CENTRO|76860-000|Raimunda Barboza| | | | | | |Pública|Municipal| |1|1.2|1.2.1|10|1|1|1|1|1|0|0|1|1|0|Não|200|2000
27|-61.957108|-11.421139|2|RO|Castanheiras|1100908|Biblioteca Pública Municipal Professora Ivani Miguel da Silva|Av. Jacarandá| | |Centro|76948-000|AV|JACARANDA| | | |CENTRO|76948-000|Carmem de Lima Martins| | | | | | |Pública|Municipal| |1|1.2|1.2.1|20|1|1|1|1|1|0|0|1|1|0|Não|80|5589
28|-60.902392|-12.549641|2|RO|Chupinguaia|1100924|Biblioteca Pública Municipal de Chupinguaia|Av. Primavera|1890| |Centro|78995-800|AV|PRIMAVERA| |1890| |CENTRO|78995-800|Luciene Alves Lima| | |69|3346-1107| | |Pública|Municipal| |1|1.2|1.2.1|24|1|1|1|1|1|1|0|1|0|0|Não|40|2200
29|-62.73486|-10.612019|2|RO|Governador Jorge Teixeira|1101005|Biblioteca Pública Municipal Sirlei Leite Ribeiro|R. Cerejeiras|2785| |Centro|78898-000|R|CEREJEIRAS| |2785| |CENTRO|78898-000|Anicéia Reis Andrade| | |69|3524-1234| | |Pública|Municipal| |1|1.2|1.2.1|3|1|1|1|1|1|0|0|1|1|0|Não|70|3666
30|-61.508544|-11.168971|2|RO|Ministro Andreazza|1101203|Biblioteca Pública Municipal Neuza Pereira da S. Manfredinho|Av. Bahia|5635| |Centro|76919-970|AV|BAHIA| |5635| |CENTRO|76919-970|Sônia Maria Gomes Rodrigues|69|9914-6963| | | | |Pública|Municipal| |1|1.2|1.2.1|4434|1|1|1|1|1|0|0|1|1|1|Não|128|2010
31|-62.670124|-11.029364|3|RO|Mirante da Serra|1101302|Biblioteca Pública Municipal Vereador Antônio Vieira Sobrinho|Av. Principal| | |Centro|76926-000|AV|PRINCIPAL| | | |CENTRO|76926-000|Jandira Pinheiro Lopes| | |69|3463-2091| | |Pública|Municipal| |1|1.2|1.2.1|14|1|1|1|1|1|0|0|1|0|0|Não|90|2088
32|-63.290521|-10.246216|3|RO|Monte Negro|1101401|Biblioteca Pública Municipal Confúcio Moura|Av. Jorge Teixeira| | |Setor 2|76888-000|AV|JORGE TEIXEIRA| | | |SETOR 2|76888-000|Filomena de Queiroz| | |69|3530-3162| | |Pública|Municipal| |1|1.2|1.2.1|4|1|1|1|1|1|0|0|1|1|0|Não|35|2800
33|-61.59528|-12.119894|2|RO|Parecis|1101450|Biblioteca Pública Municipal Juarez Tavares|R. da Matriz|336| |Centro|76979-000|R|DA MATRIZ| |336| |CENTRO|76979-000|Marcileide Carvalho| | |69|3447-1135| | |Pública|Municipal| |1|1.2|1.2.1|25|1|1|1|1|1|1|0|1|1|1|Não|70|700
